	price	vehicleType	yearOfRegistration	gearbox	powerPS	model	kilometer	monthOfRegistration	fuelType	brand	notRepairedDamage
247	3350	bus	2000	manual	130	sprinter	150000	12	diesel	mercedes_benz	No
248	2700	kleinwagen	2006	manual	75	clio	125000	6	petrol	renault	Yes
249	800	bus	2001	automatic	114	andere	150000	4	petrol	mazda	Yes
251	9800	limousine	2008	automatic	140	a6	150000	10	diesel	audi	No
252	14700	limousine	2012	automatic	211	golf	60000	12	petrol	volkswagen	Yes
253	1200	limousine	1997	manual	101	golf	150000	1	petrol	volkswagen	not-declared
254	895	limousine	1995	manual	75	colt	70000	3	petrol	mitsubishi	No
255	950	kleinwagen	1995	manual	54	polo	150000	5	petrol	volkswagen	No
256	8000	limousine	2006	manual	177	impreza	150000	0	not-declared	subaru	No
257	6799	limousine	2002	automatic	286	5er	150000	2	lpg	bmw	No
258	500	kleinwagen	1999	manual	56	corsa	150000	8	petrol	opel	No
259	11919	kleinwagen	2012	automatic	90	polo	30000	11	petrol	volkswagen	No
260	25900	coupe	2009	manual	265	andere	125000	5	petrol	porsche	No
261	300	kleinwagen	1993	manual	90	golf	150000	8	petrol	volkswagen	not-declared
262	10800	kleinwagen	2010	manual	105	a1	125000	12	diesel	audi	No
263	650	limousine	2002	manual	101	vectra	150000	1	petrol	opel	No
264	800	kombi	2000	manual	118	3er	150000	9	petrol	bmw	Yes
265	1690	kleinwagen	2001	manual	75	lupo	150000	5	diesel	volkswagen	No
266	3650	cabrio	2004	manual	113	megane	150000	9	petrol	renault	not-declared
267	4850	bus	2009	manual	75	berlingo	80000	1	diesel	citroen	No
270	4500	kombi	2007	manual	140	passat	150000	11	diesel	volkswagen	No
271	3900	kombi	2003	manual	131	passat	150000	4	petrol	volkswagen	No
272	26999	bus	2013	automatic	140	transporter	80000	10	diesel	volkswagen	No
273	750	kombi	2000	manual	101	passat	150000	3	petrol	volkswagen	No
274	5900	limousine	1999	automatic	184	7er	150000	10	diesel	bmw	No
275	56900	limousine	2015	automatic	326	a6	5000	7	diesel	audi	No
276	1100	limousine	2000	manual	116	golf	150000	4	petrol	volkswagen	No
277	48000	coupe	2014	automatic	265	andere	80000	10	diesel	mercedes_benz	No
278	8400	kleinwagen	2009	manual	201	clio	70000	6	petrol	renault	No
280	800	limousine	1998	manual	75	golf	150000	5	petrol	volkswagen	Yes
281	27500	suv	2009	automatic	224	m_klasse	150000	12	diesel	mercedes_benz	No
282	14950	bus	2009	manual	140	touran	70000	3	petrol	volkswagen	No
283	14900	cabrio	2004	manual	170	z_reihe	70000	6	petrol	bmw	No
284	2950	limousine	1998	automatic	235	5er	150000	5	petrol	bmw	No
285	1500	coupe	1994	manual	116	not-declared	150000	8	not-declared	audi	No
286	12000	suv	2011	manual	101	tiguan	150000	7	diesel	volkswagen	No
287	2500	kombi	2001	automatic	150	c_klasse	150000	11	diesel	mercedes_benz	No
288	2400	cabrio	2001	not-declared	115	golf	150000	8	petrol	volkswagen	No
290	6000	coupe	1995	manual	286	andere	150000	4	petrol	mitsubishi	No
291	8950	kleinwagen	2012	manual	95	fiesta	60000	1	diesel	ford	No
293	150	not-declared	2016	automatic	75	fiesta	50000	1	petrol	ford	Yes
294	18700	coupe	2009	automatic	213	mustang	80000	8	petrol	ford	No
295	9500	limousine	2012	manual	69	polo	50000	11	petrol	volkswagen	not-declared
296	11550	coupe	2009	automatic	140	passat	125000	12	diesel	volkswagen	No
298	2400	limousine	1989	manual	102	3er	150000	10	petrol	bmw	No
299	16150	suv	2011	manual	150	tiguan	30000	4	petrol	volkswagen	No
301	3000	coupe	2000	manual	179	tt	150000	2	petrol	audi	No
302	5500	limousine	2004	manual	90	golf	150000	10	diesel	volkswagen	No
303	2000	limousine	2004	manual	122	6_reihe	5000	7	diesel	mazda	No
304	300	kleinwagen	1998	manual	58	twingo	125000	11	not-declared	renault	not-declared
305	890	limousine	2000	manual	107	megane	150000	6	petrol	renault	Yes
306	2390	not-declared	2016	not-declared	83	jazz	150000	12	petrol	honda	No
308	1699	limousine	1999	not-declared	75	astra	150000	12	petrol	opel	not-declared
309	2899	bus	1996	manual	69	andere	150000	9	diesel	mitsubishi	No
310	4800	limousine	2004	manual	75	golf	80000	12	petrol	volkswagen	No
311	6799	limousine	2008	manual	174	3_reihe	90000	9	petrol	peugeot	No
312	3400	bus	2003	manual	100	touran	150000	0	diesel	volkswagen	not-declared
313	2650	limousine	2004	manual	125	astra	150000	6	petrol	opel	No
314	1000	kleinwagen	1999	manual	107	clio	150000	6	petrol	renault	No
315	800	coupe	1997	manual	125	a3	150000	0	petrol	audi	Yes
316	5299	cabrio	2002	manual	220	a4	150000	4	petrol	audi	No
317	7150	limousine	2002	manual	150	e_klasse	150000	3	diesel	mercedes_benz	No
319	2300	coupe	2006	manual	88	c4	150000	6	petrol	citroen	No
322	5500	bus	2006	manual	140	golf	150000	8	diesel	volkswagen	No
323	4400	kleinwagen	1997	manual	54	panda	125000	7	petrol	fiat	No
324	7950	limousine	2008	manual	140	a3	150000	10	diesel	audi	No
325	16500	coupe	2007	manual	265	z_reihe	150000	3	petrol	bmw	No
326	8100	cabrio	2004	automatic	170	z_reihe	150000	9	petrol	bmw	No
328	9750	kleinwagen	2013	automatic	75	up	60000	7	petrol	volkswagen	No
329	7700	limousine	2009	manual	185	3_reihe	150000	5	diesel	mazda	No
330	2500	cabrio	1999	manual	88	3_reihe	150000	6	petrol	peugeot	not-declared
331	1195	kleinwagen	1999	automatic	54	fortwo	125000	11	petrol	smart	No
332	9790	kombi	2014	manual	73	clio	30000	4	petrol	renault	No
333	1849	kleinwagen	1999	manual	54	clio	90000	7	petrol	renault	No
335	650	kombi	1991	manual	77	transporter	150000	7	diesel	volkswagen	Yes
336	2600	coupe	1998	manual	170	andere	150000	10	petrol	toyota	No
337	11700	kombi	2008	manual	170	andere	150000	7	diesel	mercedes_benz	No
338	600	bus	1998	manual	90	scenic	150000	6	petrol	renault	Yes
339	4950	kombi	2009	manual	109	i_reihe	150000	9	petrol	hyundai	No
341	8499	cabrio	2006	manual	150	3er	150000	3	petrol	bmw	No
343	1700	limousine	1999	manual	101	golf	150000	6	petrol	volkswagen	No
344	5750	limousine	2010	manual	90	ceed	100000	2	petrol	kia	No
345	600	bus	2001	manual	75	kangoo	150000	12	petrol	renault	Yes
347	8700	limousine	2004	automatic	170	5er	150000	1	petrol	bmw	No
348	1200	kombi	1999	automatic	125	c_klasse	150000	2	diesel	mercedes_benz	No
349	18880	bus	2014	manual	116	5_reihe	20000	11	diesel	mazda	No
350	11200	kombi	2008	automatic	177	5er	150000	7	diesel	bmw	No
352	3900	kleinwagen	2003	manual	75	ibiza	125000	2	petrol	seat	No
353	13849	limousine	2010	manual	143	1er	80000	12	diesel	bmw	No
354	13200	suv	2013	manual	105	yeti	40000	3	petrol	skoda	No
355	2500	kombi	2001	manual	101	fabia	125000	8	petrol	skoda	No
356	2550	kleinwagen	2006	manual	54	fabia	150000	4	petrol	skoda	No
357	3900	kombi	2006	manual	102	octavia	150000	11	lpg	skoda	No
358	2450	limousine	2001	manual	231	3er	150000	11	petrol	bmw	No
360	750	kombi	1998	manual	90	passat	150000	12	diesel	volkswagen	No
361	1799	bus	1999	automatic	116	zafira	150000	7	petrol	opel	No
363	8150	kleinwagen	2012	manual	75	mii	60000	11	petrol	seat	No
364	3900	coupe	2004	manual	192	rx_reihe	125000	7	petrol	mazda	No
365	5500	kleinwagen	2012	manual	68	not-declared	40000	12	not-declared	peugeot	No
366	9999	kleinwagen	2014	manual	90	corsa	20000	9	petrol	opel	No
368	500	kombi	2001	manual	131	mondeo	150000	12	diesel	ford	No
369	699	limousine	1992	manual	66	golf	150000	10	lpg	volkswagen	No
370	999	cabrio	1994	manual	115	astra	150000	3	petrol	opel	No
371	6250	limousine	2003	not-declared	299	a6	150000	3	petrol	audi	not-declared
374	16500	coupe	1983	manual	218	6er	150000	10	petrol	bmw	No
375	6500	limousine	2007	manual	125	focus	125000	9	others	ford	No
377	1200	not-declared	2016	manual	75	modus	150000	0	petrol	renault	Yes
378	1480	cabrio	2000	manual	74	golf	150000	6	petrol	volkswagen	not-declared
379	1490	kleinwagen	2000	manual	60	punto	100000	6	petrol	fiat	No
380	3200	kombi	2008	manual	110	astra	150000	5	diesel	opel	No
381	3250	kombi	2003	manual	163	a6	150000	4	diesel	audi	No
382	3400	kleinwagen	2006	manual	54	fox	70000	6	petrol	volkswagen	No
383	1100	kleinwagen	2002	manual	58	twingo	150000	5	petrol	renault	No
384	1750	limousine	2002	manual	125	vectra	150000	4	diesel	opel	No
385	3300	kombi	2006	automatic	140	passat	150000	11	diesel	volkswagen	No
386	1350	kleinwagen	2005	manual	52	matiz	150000	6	petrol	chevrolet	Yes
387	8250	kleinwagen	2012	manual	69	panda	80000	2	petrol	fiat	No
388	2500	kleinwagen	2000	manual	115	beetle	150000	1	petrol	volkswagen	No
389	3999	kombi	2004	automatic	163	a6	150000	3	diesel	audi	No
390	21500	suv	2007	automatic	510	m_klasse	150000	4	lpg	mercedes_benz	No
391	7000	limousine	2007	manual	143	1er	150000	9	petrol	bmw	No
392	2950	bus	2005	manual	131	andere	150000	6	diesel	renault	No
393	4850	kleinwagen	2010	manual	77	i_reihe	100000	12	petrol	hyundai	not-declared
394	1100	kleinwagen	2000	manual	60	punto	60000	6	petrol	fiat	No
395	3600	limousine	2003	manual	147	vectra	125000	4	petrol	opel	No
396	7750	limousine	2009	manual	80	golf	125000	9	petrol	volkswagen	No
397	2950	kleinwagen	2004	manual	54	polo	90000	12	petrol	volkswagen	not-declared
399	6880	kombi	2007	automatic	150	5er	150000	9	diesel	bmw	No
400	5600	bus	2008	automatic	140	golf	150000	7	diesel	volkswagen	No
401	10550	limousine	2012	automatic	105	golf	60000	10	petrol	volkswagen	No
402	17500	limousine	2013	manual	122	a_klasse	40000	11	petrol	mercedes_benz	No
403	999	kleinwagen	1999	manual	60	ibiza	150000	4	petrol	seat	No
405	2000	kombi	1998	manual	115	astra	150000	12	petrol	opel	No
407	6250	not-declared	2016	manual	310	astra	150000	0	not-declared	opel	not-declared
408	2700	limousine	1999	manual	125	a4	125000	7	petrol	audi	No
410	5555	cabrio	2010	automatic	71	fortwo	90000	3	petrol	smart	No
411	8450	limousine	2010	manual	95	a_klasse	70000	12	petrol	mercedes_benz	No
412	2750	cabrio	2001	manual	147	astra	150000	9	petrol	opel	not-declared
414	680	limousine	2000	manual	75	focus	150000	5	petrol	ford	No
416	4650	kleinwagen	2009	manual	73	2_reihe	70000	10	petrol	peugeot	No
417	4450	kleinwagen	2007	manual	97	rio	70000	6	petrol	kia	No
418	1999	kleinwagen	2003	manual	65	micra	80000	6	petrol	nissan	No
419	9650	bus	2011	manual	110	zafira	100000	3	diesel	opel	No
420	2700	limousine	1992	automatic	220	e_klasse	150000	12	petrol	mercedes_benz	not-declared
424	3850	limousine	2004	automatic	82	a_klasse	125000	6	petrol	mercedes_benz	No
425	15500	suv	2008	automatic	239	touareg	150000	4	diesel	volkswagen	No
426	90500	cabrio	1959	automatic	295	andere	90000	7	petrol	chevrolet	No
427	13950	andere	2011	manual	140	not-declared	60000	11	diesel	alfa_romeo	No
428	3400	limousine	2002	automatic	193	5er	150000	12	diesel	bmw	not-declared
429	11500	kleinwagen	2010	automatic	179	ibiza	50000	11	petrol	seat	No
431	2800	kombi	2007	manual	68	logan	150000	6	diesel	dacia	No
433	1490	limousine	1992	automatic	136	e_klasse	150000	2	petrol	mercedes_benz	No
434	650	kombi	2000	manual	75	caddy	150000	6	diesel	volkswagen	not-declared
435	1199	suv	1992	manual	80	andere	150000	5	petrol	suzuki	No
437	3200	cabrio	2001	manual	150	spider	150000	6	not-declared	alfa_romeo	not-declared
438	4000	limousine	2004	manual	203	andere	150000	9	lpg	kia	No
439	6450	kombi	2006	manual	150	megane	125000	9	diesel	renault	No
440	1690	kleinwagen	2001	manual	75	corsa	150000	10	petrol	opel	No
441	1750	limousine	2002	automatic	150	passat	150000	12	diesel	volkswagen	No
442	2990	limousine	2001	automatic	82	a_klasse	70000	3	petrol	mercedes_benz	No
443	1299	not-declared	2016	manual	75	astra	150000	5	not-declared	opel	No
447	650	kombi	2000	manual	144	omega	150000	4	petrol	opel	Yes
448	5500	andere	2010	manual	120	andere	150000	7	diesel	citroen	No
449	1299	coupe	1998	manual	75	andere	150000	9	petrol	citroen	No
451	5800	bus	2007	manual	105	not-declared	150000	11	diesel	volkswagen	Yes
452	7600	kombi	2004	automatic	143	c_klasse	150000	12	petrol	mercedes_benz	No
453	13499	kombi	2010	automatic	160	golf	60000	4	petrol	volkswagen	No
454	1490	kleinwagen	2007	manual	58	cuore	150000	3	petrol	daihatsu	No
455	5500	limousine	2007	manual	80	golf	125000	7	petrol	volkswagen	No
456	2350	limousine	2003	manual	143	3er	150000	4	petrol	bmw	No
459	6350	bus	2009	automatic	140	s_max	150000	10	diesel	ford	No
460	750	bus	1999	manual	101	andere	150000	12	petrol	mazda	No
